Transaction ID,Customer Name,Merchant Name,Transaction Date,Transaction Amount (INR),Fraud Risk,Fraud Type,State,Card Type,Bank,IsFraud,Fraud Score,Transaction Category,Merchant Location
17797619,Pihu Manne,Uber,11/10/2024,11673,Medium,Card Not Present,Western Cape,Rupay,ICICI Bank,0,57,Transportation,Cape Town
50040671,Hiran Vaidya,Zomato,5/20/2024,16594,Medium,Phishing,Gauteng,Amex,SBI,0,10,Groceries,Johannesburg
88177651,Shalv Vasa,Myntra,5/28/2024,23347,Medium,Card Skimming,Gauteng,Visa,HDFC Bank,0,55,Transportation,Johannesburg
24228305,Taran Shanker,Lifestyle,1/9/2024,20753,Low,Card Skimming,Free State,Visa,Federal Bank,0,30,E-commerce,Bloemfontein
87307869,Shanaya Kara,Tata Cliq,7/27/2024,6432,Low,Card Skimming,Free State,Amex,SBI,0,86,Electronics,Bloemfontein
25042953,Eshani Batta,Lifestyle,12/20/2023,4586,Critical,Card Skimming,KwaZulu Natal,Amex,Andhra Bank,0,80,E-commerce,Durban
13457605,Advik Jayaraman,Flipkart,12/26/2023,2202,Medium,Account Takeover,Gauteng,Amex,Bank of Baroda,0,95,Apparel,Johannesburg
95389887,Drishya Bhandari,Lifestyle,1/5/2024,17709,High,Card Not Present,KwaZulu Natal,Visa,HDFC Bank,0,56,E-commerce,Durban
66937046,Mannat Kothari,Zomato,11/9/2024,1613,Low,Phishing,Gauteng,Rupay,HDFC Bank,1,92,Food Delivery,Johannesburg
39375009,Aradhya Khosla,Lifestyle,10/22/2024,21623,Low,Card Skimming,KwaZulu Natal,Visa,Bank of Baroda,0,66,Apparel,Durban
26313417,Lakshay Ravi,Lifestyle,10/8/2024,7180,Critical,Card Skimming,Western Cape,Visa,Yes Bank,0,90,Apparel,Cape Town
53768437,Tushar Kara,Amazon India,11/16/2024,1562,Low,Identity Theft,Free State,Mastercard,Bank of Baroda,0,46,E-commerce,Bloemfontein
49564502,Shamik Sharaf,Big Bazaar,12/5/2024,1521,Medium,Card Skimming,KwaZulu Natal,Visa,HDFC Bank,1,25,Food Delivery,Durban
46575685,Shray Dutt,Reliance Digital,1/26/2024,18563,Low,Account Takeover,Limpopo,Rupay,ICICI Bank,0,19,Transportation,Polokwane
85972172,Prisha Mannan,Reliance Digital,5/29/2024,4486,High,Card Skimming,Gauteng,Visa,Kotak Bank,1,43,E-commerce,Johannesburg
74522267,Zeeshan Lalla,Big Bazaar,8/21/2024,11710,Medium,Account Takeover,Gauteng,Amex,Yes Bank,0,76,Food Delivery,Johannesburg
26829430,Tarini Bedi,Tata Cliq,9/21/2024,24725,Low,Card Not Present,KwaZulu Natal,Amex,Kotak Bank,0,85,Transportation,Durban
76910814,Nehmat Upadhyay,Tata Cliq,12/14/2024,3192,Medium,Identity Theft,Free State,Rupay,Bank of Baroda,1,31,Transportation,Bloemfontein
37342915,Rohan Sood,Uber,6/13/2024,950,Low,Card Skimming,Gauteng,Rupay,Axis Bank,0,88,Electronics,Johannesburg
70649904,Jivika Singhal,Amazon India,12/25/2023,7021,Low,Phishing,Gauteng,Amex,SBI,1,42,Electronics,Johannesburg
80346732,Adah Chaudhry,Reliance Digital,8/23/2024,7932,High,Card Skimming,Gauteng,Mastercard,Bank of Baroda,1,39,Electronics,Johannesburg
39217230,Saksham Rastogi,Uber,10/15/2024,7249,Low,Phishing,Free State,Visa,SBI,0,41,Apparel,Bloemfontein
29894081,Veer Sridhar,Reliance Digital,10/8/2024,12194,High,Card Skimming,KwaZulu Natal,Visa,ICICI Bank,1,37,Electronics,Durban
41533703,Kanav Chaudhary,Zomato,7/10/2024,24114,Medium,Card Not Present,Gauteng,Amex,SBI,0,67,Food Delivery,Johannesburg
50613866,Rasha Reddy,Big Bazaar,9/10/2024,2983,Critical,Card Skimming,KwaZulu Natal,Mastercard,Bank of Baroda,1,85,Electronics,Durban
74550146,Tiya Bir,Amazon India,1/5/2024,9673,Low,Account Takeover,Western Cape,Visa,Bank of Baroda,0,91,Food Delivery,Cape Town
99502840,Urvi Ghose,Lifestyle,7/25/2024,8158,High,Identity Theft,KwaZulu Natal,Visa,Yes Bank,0,24,E-commerce,Durban
27654485,Yuvaan Sidhu,Lifestyle,7/19/2024,2375,High,Card Not Present,Gauteng,Amex,HDFC Bank,0,83,Transportation,Johannesburg
73074171,Ojas Shah,Zomato,7/31/2024,10950,Medium,Identity Theft,Western Cape,Visa,HDFC Bank,0,81,Apparel,Cape Town
93774582,Tara Johal,Uber,10/11/2024,6527,Low,Identity Theft,Limpopo,Mastercard,Federal Bank,0,90,Food Delivery,Polokwane
46788591,Diya Bajaj,Lifestyle,4/28/2024,9549,Medium,Card Skimming,Free State,Mastercard,HDFC Bank,0,88,Groceries,Bloemfontein
27824277,Faiyaz Cheema,Swiggy,10/23/2024,5461,Medium,Card Not Present,Limpopo,Rupay,Axis Bank,0,48,Transportation,Polokwane
16938100,Aradhya Dhillon,Uber,1/11/2024,24489,Low,Identity Theft,Gauteng,Rupay,Federal Bank,1,29,Transportation,Soweto
66943130,Biju Sood,Lifestyle,10/2/2024,24680,Low,Identity Theft,Gauteng,Mastercard,SBI,0,80,Food Delivery,Johannesburg
68375255,Alia Dugar,Myntra,2/15/2024,24578,Low,Card Not Present,Gauteng,Visa,Federal Bank,0,35,E-commerce,Soweto
50941021,Oorja Borah,Amazon India,12/12/2024,11195,Medium,Account Takeover,Gauteng,Mastercard,Andhra Bank,1,67,Groceries,Johannesburg
60606372,Kanav Choudhary,Flipkart,7/27/2024,1714,Medium,Account Takeover,Gauteng,Visa,Andhra Bank,1,71,Electronics,Johannesburg
32201823,Zaina Hegde,Flipkart,11/14/2024,14207,Low,Identity Theft,Western Cape,Mastercard,Federal Bank,0,21,Transportation,Cape Town
53667574,Yakshit Handa,Zomato,4/8/2024,9803,Low,Card Not Present,Gauteng,Mastercard,Bank of Baroda,0,90,Electronics,Johannesburg
80084680,Nehmat Sangha,Amazon India,12/3/2024,17897,Medium,Account Takeover,Limpopo,Amex,Yes Bank,0,49,E-commerce,Polokwane
18010953,Samarth Wason,Reliance Digital,1/19/2024,22366,Medium,Card Skimming,Gauteng,Mastercard,Yes Bank,1,45,Groceries,Johannesburg
39335891,Umang Soman,Flipkart,8/15/2024,4064,Medium,Phishing,Gauteng,Rupay,Federal Bank,0,30,Groceries,Johannesburg
83700642,Kartik Bose,Uber,8/2/2024,10336,Critical,Card Not Present,KwaZulu Natal,Amex,Kotak Bank,0,29,Electronics,Durban
54662150,Prerak Zacharia,Swiggy,7/15/2024,1569,Medium,Identity Theft,Western Cape,Rupay,ICICI Bank,0,70,Transportation,Cape Town
45082504,Hiran Upadhyay,Tata Cliq,2/13/2024,23775,Medium,Identity Theft,KwaZulu Natal,Rupay,Yes Bank,0,64,Groceries,Durban
54121424,Mamooty Vyas,Zomato,9/5/2024,6711,High,Identity Theft,Western Cape,Rupay,Axis Bank,0,80,Groceries,Cape Town
72144690,Samar Tandon,Amazon India,1/26/2024,16974,Low,Card Skimming,Limpopo,Amex,Axis Bank,0,50,Food Delivery,Polokwane
52166999,Pari Behl,Lifestyle,7/8/2024,14653,High,Phishing,Gauteng,Mastercard,SBI,0,45,Transportation,Johannesburg
50032908,Yakshit Saran,Lifestyle,12/30/2023,9248,Medium,Card Not Present,Gauteng,Visa,Federal Bank,0,32,Electronics,Johannesburg
81281786,Drishya Ganesan,Zomato,4/14/2024,23122,Low,Card Skimming,Gauteng,Visa,Federal Bank,0,94,E-commerce,Johannesburg
83454657,Misha Kashyap,Flipkart,10/29/2024,842,Medium,Card Skimming,Gauteng,Mastercard,Bank of Baroda,0,26,Electronics,Johannesburg
17097793,Ranbir Shankar,Zomato,11/13/2024,5546,High,Identity Theft,Western Cape,Rupay,Axis Bank,0,91,Apparel,Cape Town
34894049,Onkar Deol,Lifestyle,1/2/2024,16758,Low,Card Not Present,Limpopo,Mastercard,HDFC Bank,0,50,E-commerce,Polokwane
84776733,Nakul Upadhyay,Big Bazaar,9/16/2024,4351,High,Card Not Present,Western Cape,Rupay,Yes Bank,1,70,Apparel,Cape Town
92240744,Tanya Shanker,Tata Cliq,6/5/2024,16904,High,Card Skimming,Gauteng,Mastercard,Andhra Bank,1,10,Electronics,Soweto
67571367,Priyansh Sangha,Lifestyle,3/22/2024,19397,Low,Card Skimming,Free State,Mastercard,Federal Bank,1,13,Transportation,Bloemfontein
53817550,Aniruddh Sem,Tata Cliq,5/25/2024,16870,Critical,Identity Theft,Gauteng,Rupay,Yes Bank,0,39,E-commerce,Johannesburg
36057699,Oorja Dhillon,Uber,6/29/2024,4014,Low,Card Not Present,Gauteng,Visa,Kotak Bank,0,90,Apparel,Johannesburg
90448570,Myra Baral,Swiggy,8/5/2024,20415,Low,Account Takeover,Gauteng,Visa,Federal Bank,0,11,Electronics,Johannesburg
39560366,Raghav Goswami,Lifestyle,12/16/2023,14479,Medium,Card Not Present,Gauteng,Mastercard,SBI,0,68,Apparel,Soweto
45163069,Jivin Shah,Lifestyle,7/27/2024,1603,Medium,Card Skimming,Gauteng,Mastercard,Yes Bank,0,17,Transportation,Soweto
24538975,Indranil Dar,Uber,6/18/2024,11770,Medium,Card Not Present,Free State,Amex,Andhra Bank,0,32,E-commerce,Bloemfontein
65571276,Siya Mand,Flipkart,7/27/2024,3431,High,Card Skimming,Limpopo,Mastercard,Federal Bank,0,85,Apparel,Polokwane
58333520,Hridaan Lanka,Uber,1/30/2024,9612,Medium,Phishing,Gauteng,Visa,Bank of Baroda,0,53,E-commerce,Johannesburg
22921041,Devansh Dutta,Myntra,9/12/2024,23243,Low,Card Skimming,Gauteng,Visa,SBI,0,65,Electronics,Soweto
66957487,Prisha Sani,Zomato,10/11/2024,23671,Medium,Identity Theft,Gauteng,Amex,Andhra Bank,0,79,Transportation,Johannesburg
50449721,Anika Kaur,Amazon India,3/16/2024,5188,Medium,Identity Theft,Free State,Amex,Yes Bank,1,14,Electronics,Bloemfontein
75029599,Hrishita Mangal,Lifestyle,11/6/2024,11728,Low,Account Takeover,KwaZulu Natal,Mastercard,ICICI Bank,0,42,E-commerce,Durban
90805536,Urvi Gole,Flipkart,5/20/2024,1056,Low,Phishing,Limpopo,Rupay,Kotak Bank,0,36,Transportation,Polokwane
84143515,Neysa Bir,Swiggy,11/17/2024,6783,Low,Card Not Present,Gauteng,Rupay,Andhra Bank,0,83,Electronics,Johannesburg
81421351,Aaina Kanda,Tata Cliq,8/22/2024,19964,Low,Account Takeover,Western Cape,Rupay,ICICI Bank,0,11,Apparel,Cape Town
48347365,Mannat Krishnamurthy,Tata Cliq,3/7/2024,7131,High,Account Takeover,Western Cape,Rupay,SBI,0,63,Apparel,Cape Town
32663828,Jivin Tripathi,Reliance Digital,10/12/2024,7525,Low,Card Skimming,Gauteng,Amex,HDFC Bank,0,48,Transportation,Johannesburg
80937684,Samaira Sahni,Amazon India,1/11/2024,16351,Low,Identity Theft,Gauteng,Rupay,Yes Bank,0,94,Transportation,Johannesburg
87301985,Kimaya Buch,Big Bazaar,4/27/2024,21512,Low,Card Skimming,Free State,Rupay,HDFC Bank,0,35,Apparel,Bloemfontein
72182629,Samaira Goswami,Big Bazaar,2/19/2024,20170,Low,Account Takeover,Gauteng,Rupay,HDFC Bank,0,39,Apparel,Johannesburg
23733893,Samaira Bansal,Flipkart,7/30/2024,11347,Low,Card Not Present,Western Cape,Rupay,Axis Bank,0,16,Transportation,Cape Town
21412415,Riya Rajagopalan,Reliance Digital,10/21/2024,21657,Low,Account Takeover,Gauteng,Rupay,Axis Bank,0,14,Apparel,Johannesburg
42755409,Alia Sani,Reliance Digital,5/18/2024,24075,Low,Identity Theft,Western Cape,Mastercard,Yes Bank,0,19,Transportation,Cape Town
36099694,Divij Chatterjee,Flipkart,6/18/2024,14154,Critical,Account Takeover,Gauteng,Mastercard,Yes Bank,0,81,Electronics,Johannesburg
34550377,Kartik Khatri,Uber,5/23/2024,23336,Medium,Card Skimming,KwaZulu Natal,Rupay,Axis Bank,0,54,Apparel,Durban
13995329,Mohanlal Vyas,Zomato,4/7/2024,3837,Medium,Account Takeover,Western Cape,Mastercard,Andhra Bank,0,69,Apparel,Cape Town
22639242,Pari Bath,Lifestyle,9/8/2024,18705,Low,Card Not Present,Gauteng,Rupay,Federal Bank,1,58,Food Delivery,Johannesburg
24287784,Ranbir Buch,Zomato,12/29/2023,22715,Medium,Phishing,Limpopo,Rupay,Kotak Bank,0,75,E-commerce,Polokwane
38716212,Aniruddh Choudhury,Myntra,9/23/2024,2094,Critical,Account Takeover,Western Cape,Visa,Federal Bank,1,73,E-commerce,Cape Town
50152639,Divij Venkatesh,Tata Cliq,12/29/2023,24973,Low,Card Not Present,Western Cape,Mastercard,Axis Bank,0,46,Electronics,Cape Town
10560987,Priyansh Sandal,Flipkart,6/25/2024,19521,High,Card Skimming,Free State,Visa,Axis Bank,1,38,Transportation,Bloemfontein
62563619,Amani Tak,Lifestyle,8/6/2024,832,Medium,Card Not Present,Free State,Rupay,SBI,0,46,Electronics,Bloemfontein
40409910,Dishani Acharya,Myntra,3/31/2024,1695,Low,Card Not Present,Limpopo,Visa,HDFC Bank,1,55,E-commerce,Polokwane
10117276,Vivaan Agrawal,Zomato,11/6/2024,6908,Low,Card Not Present,KwaZulu Natal,Amex,Andhra Bank,0,38,Food Delivery,Durban
75147301,Anvi Srinivasan,Lifestyle,11/2/2024,9688,High,Phishing,Limpopo,Amex,Andhra Bank,0,18,E-commerce,Polokwane
53631628,Biju Chopra,Tata Cliq,4/2/2024,20610,Medium,Card Skimming,Gauteng,Mastercard,ICICI Bank,0,45,Apparel,Johannesburg
95200804,Saira Ganguly,Zomato,7/1/2024,2790,Medium,Card Not Present,Free State,Rupay,HDFC Bank,0,61,Food Delivery,Bloemfontein
89200981,Navya Randhawa,Tata Cliq,12/8/2024,2861,Critical,Phishing,Western Cape,Mastercard,SBI,0,25,Apparel,Cape Town
15784540,Ritvik Jha,Swiggy,2/10/2024,3776,Low,Card Skimming,Gauteng,Amex,Bank of Baroda,1,69,Electronics,Johannesburg
65154221,Rohan Devi,Amazon India,1/6/2024,2760,Low,Card Skimming,Free State,Visa,ICICI Bank,0,39,Apparel,Bloemfontein
87824397,Mohanlal Bhat,Swiggy,6/12/2024,18868,Low,Account Takeover,Gauteng,Amex,Kotak Bank,0,18,Groceries,Johannesburg
21065610,Prerak Shan,Uber,6/8/2024,7764,Critical,Identity Theft,Gauteng,Mastercard,Andhra Bank,0,28,Apparel,Johannesburg
23921117,Adah Vyas,Flipkart,1/6/2024,18020,Low,Card Not Present,Free State,Mastercard,Yes Bank,0,80,Electronics,Bloemfontein
22421404,Gokul Mani,Lifestyle,9/3/2024,4965,Medium,Card Skimming,KwaZulu Natal,Rupay,Federal Bank,1,22,Electronics,Durban
84552344,Lakshay Loyal,Big Bazaar,4/10/2024,13733,Critical,Card Not Present,Western Cape,Rupay,Federal Bank,1,78,Apparel,Cape Town
78149926,Keya Chanda,Reliance Digital,3/13/2024,20336,High,Card Not Present,Gauteng,Rupay,Bank of Baroda,0,19,Apparel,Soweto
61148006,Tanya Bansal,Amazon India,6/9/2024,16906,Critical,Phishing,Gauteng,Amex,Yes Bank,0,33,Apparel,Johannesburg
34034948,Indranil Sura,Reliance Digital,1/11/2024,8161,Medium,Account Takeover,KwaZulu Natal,Amex,SBI,0,61,Transportation,Durban
62554708,Mannat Mandal,Lifestyle,8/22/2024,22728,Critical,Identity Theft,Free State,Amex,SBI,0,20,Transportation,Bloemfontein
47813903,Sumer Lall,Flipkart,10/22/2024,10680,High,Account Takeover,Gauteng,Amex,Andhra Bank,0,15,Electronics,Johannesburg
